date,Google,Apple
20111101,536,322
20111201,487,353
20120101,444,355
20120201,718,436
20120301,805,404
20120401,667,320
20120501,761,354
20120601,644,205
20120701,520,271
20120801,842,297
20120901,546,275
20121001,638,375
20121101,742,360
20121201,458,255
20130101,708,304
20130201,682,428
20130301,681,375
20130401,1303,549
20130501,1014,484
20130601,797,259
20130701,1040,269
20130801,896,466
20130901,684,698
20131001,1291,585
20131101,922,397
20131201,656,329
20140101,843,725
20140201,896,516
20140301,981,545
20140401,989,503
